case_id,activity,enable_time,start_time,end_time,resource
0,Sequence A,2023-11-02 19:04:49.494900+02:00,2023-11-02 19:04:49.494900+02:00,2023-11-02 19:14:49.494900+02:00,Batcher resource 1_0
1,Sequence A,2023-11-02 19:14:49.494900+02:00,2023-11-02 19:14:49.494900+02:00,2023-11-02 19:24:49.494900+02:00,Batcher resource 1_1
0,Sequence B,2023-11-02 19:14:49.494900+02:00,2023-11-02 19:14:49.494900+02:00,2023-11-02 19:24:49.494900+02:00,Batcher resource 1_2
2,Sequence A,2023-11-02 19:24:49.494900+02:00,2023-11-02 19:24:49.494900+02:00,2023-11-02 19:34:49.494900+02:00,Batcher resource 1_3
1,Sequence B,2023-11-02 19:24:49.494900+02:00,2023-11-02 19:24:49.494900+02:00,2023-11-02 19:34:49.494900+02:00,Batcher resource 1_4
3,Sequence A,2023-11-02 19:34:49.494900+02:00,2023-11-02 19:34:49.494900+02:00,2023-11-02 19:44:49.494900+02:00,Batcher resource 1_0
2,Sequence B,2023-11-02 19:34:49.494900+02:00,2023-11-02 19:34:49.494900+02:00,2023-11-02 19:44:49.494900+02:00,Batcher resource 1_1
4,Sequence A,2023-11-02 19:44:49.494900+02:00,2023-11-02 19:44:49.494900+02:00,2023-11-02 19:54:49.494900+02:00,Batcher resource 1_2
3,Sequence B,2023-11-02 19:44:49.494900+02:00,2023-11-02 19:44:49.494900+02:00,2023-11-02 19:54:49.494900+02:00,Batcher resource 1_3
5,Sequence A,2023-11-02 19:54:49.494900+02:00,2023-11-02 19:54:49.494900+02:00,2023-11-02 20:04:49.494900+02:00,Batcher resource 1_4
4,Sequence B,2023-11-02 19:54:49.494900+02:00,2023-11-02 19:54:49.494900+02:00,2023-11-02 20:04:49.494900+02:00,Batcher resource 1_0
6,Sequence A,2023-11-02 20:04:49.494900+02:00,2023-11-02 20:04:49.494900+02:00,2023-11-02 20:14:49.494900+02:00,Batcher resource 1_1
5,Sequence B,2023-11-02 20:04:49.494900+02:00,2023-11-02 20:04:49.494900+02:00,2023-11-02 20:14:49.494900+02:00,Batcher resource 1_2
0,Sequence C,2023-11-02 19:24:49.494900+02:00,2023-11-02 20:04:49.494900+02:00,2023-11-02 20:14:49.494900+02:00,Batcher resource 1_3
1,Sequence C,2023-11-02 19:34:49.494900+02:00,2023-11-02 20:14:49.494900+02:00,2023-11-02 20:24:49.494900+02:00,Batcher resource 1_3
2,Sequence C,2023-11-02 19:44:49.494900+02:00,2023-11-02 20:24:49.494900+02:00,2023-11-02 20:34:49.494900+02:00,Batcher resource 1_3
3,Sequence C,2023-11-02 19:54:49.494900+02:00,2023-11-02 20:34:49.494900+02:00,2023-11-02 20:44:49.494900+02:00,Batcher resource 1_3
4,Sequence C,2023-11-02 20:04:49.494900+02:00,2023-11-02 20:44:49.494900+02:00,2023-11-02 20:54:49.494900+02:00,Batcher resource 1_3
7,Sequence A,2023-11-02 20:14:49.494900+02:00,2023-11-02 20:14:49.494900+02:00,2023-11-02 20:24:49.494900+02:00,Batcher resource 1_4
6,Sequence B,2023-11-02 20:14:49.494900+02:00,2023-11-02 20:14:49.494900+02:00,2023-11-02 20:24:49.494900+02:00,Batcher resource 1_0
8,Sequence A,2023-11-02 20:24:49.494900+02:00,2023-11-02 20:24:49.494900+02:00,2023-11-02 20:34:49.494900+02:00,Batcher resource 1_1
7,Sequence B,2023-11-02 20:24:49.494900+02:00,2023-11-02 20:24:49.494900+02:00,2023-11-02 20:34:49.494900+02:00,Batcher resource 1_2
9,Sequence A,2023-11-02 20:34:49.494900+02:00,2023-11-02 20:34:49.494900+02:00,2023-11-02 20:44:49.494900+02:00,Batcher resource 1_4
8,Sequence B,2023-11-02 20:34:49.494900+02:00,2023-11-02 20:34:49.494900+02:00,2023-11-02 20:44:49.494900+02:00,Batcher resource 1_0
10,Sequence A,2023-11-02 20:44:49.494900+02:00,2023-11-02 20:44:49.494900+02:00,2023-11-02 20:54:49.494900+02:00,Batcher resource 1_1
9,Sequence B,2023-11-02 20:44:49.494900+02:00,2023-11-02 20:44:49.494900+02:00,2023-11-02 20:54:49.494900+02:00,Batcher resource 1_2
11,Sequence A,2023-11-02 20:54:49.494900+02:00,2023-11-02 20:54:49.494900+02:00,2023-11-02 21:04:49.494900+02:00,Batcher resource 1_4
10,Sequence B,2023-11-02 20:54:49.494900+02:00,2023-11-02 20:54:49.494900+02:00,2023-11-02 21:04:49.494900+02:00,Batcher resource 1_0
5,Sequence C,2023-11-02 20:14:49.494900+02:00,2023-11-02 20:54:49.494900+02:00,2023-11-02 21:04:49.494900+02:00,Batcher resource 1_3
6,Sequence C,2023-11-02 20:24:49.494900+02:00,2023-11-02 21:04:49.494900+02:00,2023-11-02 21:14:49.494900+02:00,Batcher resource 1_3
7,Sequence C,2023-11-02 20:34:49.494900+02:00,2023-11-02 21:14:49.494900+02:00,2023-11-02 21:24:49.494900+02:00,Batcher resource 1_3
8,Sequence C,2023-11-02 20:44:49.494900+02:00,2023-11-02 21:24:49.494900+02:00,2023-11-02 21:34:49.494900+02:00,Batcher resource 1_3
9,Sequence C,2023-11-02 20:54:49.494900+02:00,2023-11-02 21:34:49.494900+02:00,2023-11-02 21:44:49.494900+02:00,Batcher resource 1_3
