case_id,activity,enable_time,start_time,end_time,resource, priority, origin
0,Sequence A,2023-10-02 19:04:49.494900+02:00,2023-10-02 19:04:49.494900+02:00,2023-10-02 19:14:49.494900+02:00,Resource 1_0, HIGH, France
1,Sequence A,2023-10-02 19:14:49.494900+02:00,2023-10-02 19:14:49.494900+02:00,2023-10-02 19:24:49.494900+02:00,Resource 1_1, HIGH, France
0,Sequence B,2023-10-02 19:14:49.494900+02:00,2023-10-02 19:14:49.494900+02:00,2023-10-02 19:24:49.494900+02:00,Resource 1_2, HIGH, France
2,Sequence A,2023-10-02 19:24:49.494900+02:00,2023-10-02 19:24:49.494900+02:00,2023-10-02 19:34:49.494900+02:00,Resource 1_3, HIGH, France
1,Sequence B,2023-10-02 19:24:49.494900+02:00,2023-10-02 19:24:49.494900+02:00,2023-10-02 19:34:49.494900+02:00,Resource 1_4, HIGH, France
0,Sequence C,2023-10-02 19:24:49.494900+02:00,2023-10-02 19:24:49.494900+02:00,2023-10-02 19:34:49.494900+02:00,Resource 1_0, HIGH, France
3,Sequence A,2023-10-02 19:34:49.494900+02:00,2023-10-02 19:34:49.494900+02:00,2023-10-02 19:44:49.494900+02:00,Resource 1_1, HIGH, France
2,Sequence B,2023-10-02 19:34:49.494900+02:00,2023-10-02 19:34:49.494900+02:00,2023-10-02 19:44:49.494900+02:00,Resource 1_2, HIGH, France
1,Sequence C,2023-10-02 19:34:49.494900+02:00,2023-10-02 19:34:49.494900+02:00,2023-10-02 19:44:49.494900+02:00,Resource 1_3, HIGH, France
4,Sequence A,2023-10-02 19:44:49.494900+02:00,2023-10-02 19:44:49.494900+02:00,2023-10-02 19:54:49.494900+02:00,Resource 1_4, HIGH, France
3,Sequence B,2023-10-02 19:44:49.494900+02:00,2023-10-02 19:44:49.494900+02:00,2023-10-02 19:54:49.494900+02:00,Resource 1_0, HIGH, France
2,Sequence C,2023-10-02 19:44:49.494900+02:00,2023-10-02 19:44:49.494900+02:00,2023-10-02 19:54:49.494900+02:00,Resource 1_1, HIGH, France
5,Sequence A,2023-10-02 19:54:49.494900+02:00,2023-10-02 19:54:49.494900+02:00,2023-10-02 20:04:49.494900+02:00,Resource 1_2, HIGH, France
4,Sequence B,2023-10-02 19:54:49.494900+02:00,2023-10-02 19:54:49.494900+02:00,2023-10-02 20:04:49.494900+02:00,Resource 1_3, HIGH, France
3,Sequence C,2023-10-02 19:54:49.494900+02:00,2023-10-02 19:54:49.494900+02:00,2023-10-02 20:04:49.494900+02:00,Resource 1_4, HIGH, France
