case_id, activity, enable_time, start_time, end_time, resource
0,Sequence A,2023-11-02 16:17:29.110518+00:00,2023-11-02 16:17:29.110518+00:00,2023-11-02 16:33:28.392975+00:00,Default resource profile 1_0
1,Sequence A,2023-11-02 16:18:32.991869+00:00,2023-11-02 16:18:32.991869+00:00,2023-11-02 16:27:03.900299+00:00,Default resource profile 1_1
2,Sequence A,2023-11-02 16:19:36.231791+00:00,2023-11-02 16:19:36.231791+00:00,2023-11-02 16:34:21.146542+00:00,Default resource profile 1_2
3,Sequence A,2023-11-02 16:20:21.876011+00:00,2023-11-02 16:20:21.876011+00:00,2023-11-02 16:32:32.342621+00:00,Default resource profile 1_3
4,Sequence A,2023-11-02 16:21:21.687741+00:00,2023-11-02 16:21:21.687741+00:00,2023-11-02 16:24:32.011675+00:00,Default resource profile 1_4
5,Sequence A,2023-11-02 16:22:25.426477+00:00,2023-11-02 16:24:32.011675+00:00,2023-11-02 16:30:03.728123+00:00,Default resource profile 1_4
6,Sequence A,2023-11-02 16:23:21.348556+00:00,2023-11-02 16:27:03.900299+00:00,2023-11-02 16:35:04.936307+00:00,Default resource profile 1_1
7,Sequence A,2023-11-02 16:24:14.574396+00:00,2023-11-02 16:30:03.728123+00:00,2023-11-02 16:36:05.084801+00:00,Default resource profile 1_4
8,Sequence A,2023-11-02 16:25:04.070084+00:00,2023-11-02 16:32:32.342621+00:00,2023-11-02 16:49:02.942089+00:00,Default resource profile 1_3
9,Sequence A,2023-11-02 16:26:07.442229+00:00,2023-11-02 16:33:28.392975+00:00,2023-11-02 16:45:01.118833+00:00,Default resource profile 1_0
10,Sequence A,2023-11-02 16:27:01.758196+00:00,2023-11-02 16:34:21.146542+00:00,2023-11-02 16:42:30.443496+00:00,Default resource profile 1_2
11,Sequence A,2023-11-02 16:27:53.647621+00:00,2023-11-02 16:35:04.936307+00:00,2023-11-02 16:47:17.197599+00:00,Default resource profile 1_1
12,Sequence A,2023-11-02 16:28:50.658488+00:00,2023-11-02 16:36:05.084801+00:00,2023-11-02 16:52:37.452554+00:00,Default resource profile 1_4
13,Sequence A,2023-11-02 16:29:43.602114+00:00,2023-11-02 16:42:30.443496+00:00,2023-11-02 16:58:39.064854+00:00,Default resource profile 1_2
14,Sequence A,2023-11-02 16:31:00.549349+00:00,2023-11-02 16:45:01.118833+00:00,2023-11-02 16:53:46.442381+00:00,Default resource profile 1_0
15,Sequence A,2023-11-02 16:32:13.720118+00:00,2023-11-02 16:47:17.197599+00:00,2023-11-02 16:58:41.456873+00:00,Default resource profile 1_1
16,Sequence A,2023-11-02 16:33:06.505983+00:00,2023-11-02 16:49:02.942089+00:00,2023-11-02 16:57:29.429077+00:00,Default resource profile 1_3
17,Sequence A,2023-11-02 16:34:21.763700+00:00,2023-11-02 16:52:37.452554+00:00,2023-11-02 17:02:35.857647+00:00,Default resource profile 1_4
18,Sequence A,2023-11-02 16:35:19.782792+00:00,2023-11-02 16:53:46.442381+00:00,2023-11-02 16:58:35.151566+00:00,Default resource profile 1_0
