started_at,2020-10-01 08:00:00+00:00
completed_at,2020-10-28 14:10:35.222101+00:00
""
Resource Utilization
Resource ID,Resource name,Utilization Ratio,Tasks Allocated,Worked Time (seconds),Available Time (seconds),Pool ID,Pool name
Base profile_0,Base profile_0,0.27360479543706967,1075,644341.5428605613,2355008.222101,Base profile pool,Base profile pool
Base profile_1,Base profile_1,0.27345422314068546,1073,643986.9438645558,2355008.222101,Base profile pool,Base profile pool
Base profile_2,Base profile_2,0.2735281572452258,1078,644161.0592886419,2355008.222101,Base profile pool,Base profile pool
Base profile_3,Base profile_3,0.2733550222368995,1077,643753.3249205,2355008.222101,Base profile pool,Base profile pool
Base profile_4,Base profile_4,0.2734457361212217,1072,643966.9568639376,2355008.222101,Base profile pool,Base profile pool
Base profile_5,Base profile_5,0.2732666653296696,1068,643545.2436774942,2355008.222101,Base profile pool,Base profile pool
Base profile_6,Base profile_6,0.2732437649621064,1076,643491.3131235937,2355008.222101,Base profile pool,Base profile pool
Base profile_7,Base profile_7,0.2736214458924245,1075,644380.7548198235,2355008.222101,Base profile pool,Base profile pool
Base profile_8,Base profile_8,0.27335333120042654,1073,643749.3425157024,2355008.222101,Base profile pool,Base profile pool
Base profile_9,Base profile_9,0.27306599701989887,1074,643072.668158069,2355008.222101,Base profile pool,Base profile pool
Base profile_10,Base profile_10,0.2731679989783594,1072,643312.883608914,2355008.222101,Base profile pool,Base profile pool
Base profile_11,Base profile_11,0.2734266847908969,1070,643922.0908243806,2355008.222101,Base profile pool,Base profile pool
Base profile_12,Base profile_12,0.2731836799014795,1070,643349.8123117919,2355008.222101,Base profile pool,Base profile pool
Base profile_13,Base profile_13,0.27323887366653915,1068,643479.7940823161,2355008.222101,Base profile pool,Base profile pool
Base profile_14,Base profile_14,0.2728286834575825,1072,642513.7927675978,2355008.222101,Base profile pool,Base profile pool
Base profile_15,Base profile_15,0.27329661211090445,1076,643615.7685935277,2355008.222101,Base profile pool,Base profile pool
Base profile_16,Base profile_16,0.2731715807598836,1076,643321.3187338533,2355008.222101,Base profile pool,Base profile pool
Base profile_17,Base profile_17,0.27294613737011436,1074,642790.3976973284,2355008.222101,Base profile pool,Base profile pool
Base profile_18,Base profile_18,0.27339986398038163,1068,643858.9275950938,2355008.222101,Base profile pool,Base profile pool
Base profile_19,Base profile_19,0.27306969679922727,1068,643081.3811688074,2355008.222101,Base profile pool,Base profile pool
Base profile_20,Base profile_20,0.2734814960680205,1072,644051.1718326707,2355008.222101,Base profile pool,Base profile pool
Base profile_21,Base profile_21,0.2731070837751053,1073,643169.4278043996,2355008.222101,Base profile pool,Base profile pool
Base profile_22,Base profile_22,0.27310513821918614,1072,643164.8460042134,2355008.222101,Base profile pool,Base profile pool
Base profile_23,Base profile_23,0.27318201504531453,1076,643345.8915618348,2355008.222101,Base profile pool,Base profile pool
Base profile_24,Base profile_24,0.2729009213373338,1075,642683.9135683593,2355008.222101,Base profile pool,Base profile pool
Base profile_25,Base profile_25,0.27325692945686714,1070,643522.3156169951,2355008.222101,Base profile pool,Base profile pool
Base profile_26,Base profile_26,0.27299819482205606,1073,642912.9934246727,2355008.222101,Base profile pool,Base profile pool
Base profile_27,Base profile_27,0.273347007177197,1072,643734.4493890001,2355008.222101,Base profile pool,Base profile pool
Base profile_28,Base profile_28,0.27311928597505897,1076,643198.1640856182,2355008.222101,Base profile pool,Base profile pool
Base profile_29,Base profile_29,0.27337694191718964,1072,643804.9459478091,2355008.222101,Base profile pool,Base profile pool
Base profile_30,Base profile_30,0.27302236941973235,1069,642969.9248009664,2355008.222101,Base profile pool,Base profile pool
Base profile_31,Base profile_31,0.273160517161774,1074,643295.263869339,2355008.222101,Base profile pool,Base profile pool
Base profile_32,Base profile_32,0.2730229956852599,1073,642971.399661433,2355008.222101,Base profile pool,Base profile pool
Base profile_33,Base profile_33,0.2729403755942466,1077,642776.828667786,2355008.222101,Base profile pool,Base profile pool
Base profile_34,Base profile_34,0.2732918698381553,1076,643604.6005022121,2355008.222101,Base profile pool,Base profile pool
Base profile_35,Base profile_35,0.2729366249141052,1069,642767.9957852144,2355008.222101,Base profile pool,Base profile pool
Base profile_36,Base profile_36,0.2735071843006586,1075,644111.6678317446,2355008.222101,Base profile pool,Base profile pool
Base profile_37,Base profile_37,0.27335057714086913,1067,643742.8566828006,2355008.222101,Base profile pool,Base profile pool
Base profile_38,Base profile_38,0.2729925325121644,1072,642899.6586383217,2355008.222101,Base profile pool,Base profile pool
Base profile_39,Base profile_39,0.27324351767430066,1073,643490.730758778,2355008.222101,Base profile pool,Base profile pool
Base profile_40,Base profile_40,0.27315082879698604,1072,643272.4476906048,2355008.222101,Base profile pool,Base profile pool
Base profile_41,Base profile_41,0.27305584718759096,1075,643048.7652195309,2355008.222101,Base profile pool,Base profile pool
Base profile_42,Base profile_42,0.2730482732926272,1072,643030.928634618,2355008.222101,Base profile pool,Base profile pool
Base profile_43,Base profile_43,0.2730876451991319,1076,643123.6497981563,2355008.222101,Base profile pool,Base profile pool
Base profile_44,Base profile_44,0.27280284046102676,1071,642452.9322982255,2355008.222101,Base profile pool,Base profile pool
Base profile_45,Base profile_45,0.27310864102772253,1068,643173.095147117,2355008.222101,Base profile pool,Base profile pool
Base profile_46,Base profile_46,0.2732184793041451,1073,643431.7651911937,2355008.222101,Base profile pool,Base profile pool
Base profile_47,Base profile_47,0.27292750081362643,1074,642746.5084535676,2355008.222101,Base profile pool,Base profile pool
Base profile_48,Base profile_48,0.2732248752331003,1074,643446.8276564712,2355008.222101,Base profile pool,Base profile pool
Base profile_49,Base profile_49,0.27315642749166036,1072,643285.6326625958,2355008.222101,Base profile pool,Base profile pool
""
Individual Task Statistics
Name,Count,Min Duration,Max Duration,Avg Duration,Total Duration,Min Waiting Time,Max Waiting Time,Avg Waiting Time,Total Waiting Time,Min Processing Time,Max Processing Time,Avg Processing Time,Total Processing Time,Min Cycle Time,Max Cycle Time,Avg Cycle Time,Total Cycle Time,Min Idle Time,Max Idle Time,Avg Idle Time,Total Idle Time,Min Idle Cycle Time,Max Idle Cycle Time,Avg Idle Cycle Time,Total Idle Cycle Time,Min Idle Processing Time,Max Idle Processing Time,Avg Idle Processing Time,Total Idle Processing Time,Min Cost,Max Cost,Avg Cost,Total Cost
A,10000,1.7976931348623157e+308,0,0,0,0,930.0199582914356,253.96331867936397,2539633.18679364,379.2278126989215,810.3824897761765,600.0091348814834,6000091.348814834,396.43889026588295,1608.6998729392321,853.9724535608456,8539724.535608456,0.0,4.999125167159946e-07,1.2173233726002763e-07,0.0012173233726002763,396.43889026588295,1608.6998730939813,853.9724536825767,8539724.536825767,379.2278130000923,810.382489999989,600.0091350032176,6000091.350032176,1.0534105908303375,2.2510624716004903,1.666692041337454,16666.92041337454
D1,11819,1.7976931348623157e+308,0,0,0,0.0,936.5183834885247,269.29840713882663,3182837.873973792,374.09502393875204,849.8246176316851,599.7112392005653,7087987.136111481,421.50391018996015,1576.276923762799,869.0096463393904,10270825.010085255,0.0,4.998389613319887e-07,1.2521125644583862e-07,0.0014798718399333666,421.50391018996015,1576.2769240695052,869.0096464645985,10270825.01156509,374.095023999922,849.8246180000133,599.711239325772,7087987.137591299,1.0391528442743112,2.3606239378657916,1.6658645533348948,19688.853155865123
B,10000,1.7976931348623157e+308,0,0,0,0.0,931.9387496006675,269.7777561649536,2697777.561649536,362.1840061336661,813.0826596870635,599.3798035513895,5993798.035513895,390.63683925394434,1597.792665455956,869.1575597163429,8691575.59716343,0.0,4.999606062483508e-07,1.2832667893007966e-07,0.0012832667893007965,390.63683925394434,1597.792665455956,869.1575598446632,8691575.598446632,362.1840061336661,813.0826600000728,599.3798036797172,5993798.036797171,1.0060666837046282,2.258562943575176,1.6649438987538454,16649.438987538455
C1,4972,1.7976931348623157e+308,0,0,0,0.0,942.1073640258983,272.60346027659523,1355384.4044952316,373.44949541287497,823.5708824370522,600.3012489008318,2984697.8095349353,375.42695298977196,1585.203730713809,872.9047091774255,4340082.21403016,0.0,4.995116569261882e-07,1.236484879852117e-07,0.0006147802822624726,375.42695298977196,1585.203730713809,872.9047093010745,4340082.214644942,373.44949541287497,823.5708824370522,600.3012490244779,2984697.810149704,1.0373597094802083,2.2876968956584784,1.6675034691689727,8290.827248708132
D2,1819,1.7976931348623157e+308,0,0,0,0.0,921.4627188148443,270.9618833004829,492879.66572357836,412.3750407803152,776.5864130671835,600.9872069458753,1093195.7294345472,420.9474102265667,1531.8401455295311,871.9490902463582,1586075.3951581256,0.0,4.997197038392187e-07,1.2802549922353442e-07,0.0002328783830876091,420.9474102265667,1531.8401458854787,871.9490903743839,1586075.3953910044,412.37504100007936,776.5864130671835,600.9872070739011,1093195.729667426,1.1454862243897646,2.1571844807421763,1.66940890818299,3036.6548039848585
C2,5028,1.7976931348623157e+308,0,0,0,0.0,922.8817762085237,268.6965719547994,1351006.3637887314,383.8657239638176,789.69015470043,598.1206902989048,3007350.8308228934,433.851907815715,1521.4491356769577,866.8172622537048,4358357.194611628,0.0,4.998524900656776e-07,1.2522303486617216e-07,0.0006296214193071137,433.85190799995326,1521.4491356769577,866.817262378928,4358357.19524125,383.86572399991564,789.6901549999602,598.1206904241274,3007350.8314525126,1.0662936776772711,2.19358376305675,1.6614463619414073,8353.752307841396
E,10000,1.7976931348623157e+308,0,0,0,0.0,946.4664496914484,262.46327087414863,2624632.708741486,378.3009350224165,806.2227970755193,600.1806026430178,6001806.0264301775,387.4074058510578,1624.1827270204667,862.6438735171666,8626438.735171666,0.0,4.999923248760751e-07,1.2537757938275718e-07,0.0012537757938275718,387.4074059999548,1624.1827270204667,862.6438736425418,8626438.736425418,378.3009350224165,806.2227970755193,600.1806027683942,6001806.027683943,1.0508359306178237,2.2395077696542205,1.6671683406750522,16671.683406750522
""
Overall Scenario Statistics
KPI,Min,Max,Average,Accumulated Value,Trace Ocurrences
cycle_time,2043.129371,11487.089875,3636.4527880218952,36364527.88021895,10000
processing_time,1977.090849,7804.569752,2573.730247988506,25737302.47988506,10000
idle_cycle_time,2043.129371,11487.089875,3636.4527880218952,36364527.88021895,10000
idle_processing_time,1977.090849,7804.569752,2573.730247988506,25737302.47988506,10000
waiting_time,0.0,6018.449663,1127.5583190376963,11275583.190376963,10000
idle_time,0.0,0,0.0,0.0,10000
