started_at,2020-10-01 08:00:00+00:00
completed_at,2021-07-01 12:03:35.871941+00:00
""
Resource Utilization
Resource ID,Resource name,Utilization Ratio,Tasks Allocated,Worked Time (seconds),Available Time (seconds),Pool ID,Pool name
Base profile_0,Base profile_0,0.028324287374874947,1071,641057.2478879928,22632775.871941,Base profile pool,Base profile pool
Base profile_1,Base profile_1,0.028383724185775262,1070,642402.4679076426,22632775.871941,Base profile pool,Base profile pool
Base profile_2,Base profile_2,0.028327081383703424,1069,641120.4840635919,22632775.871941,Base profile pool,Base profile pool
Base profile_3,Base profile_3,0.028435013379556277,1070,643563.2847351409,22632775.871941,Base profile pool,Base profile pool
Base profile_4,Base profile_4,0.028245294895620634,1069,639269.428809461,22632775.871941,Base profile pool,Base profile pool
Base profile_5,Base profile_5,0.028384493692969,1069,642419.8839914902,22632775.871941,Base profile pool,Base profile pool
Base profile_6,Base profile_6,0.02841948228896568,1070,643211.7730427571,22632775.871941,Base profile pool,Base profile pool
Base profile_7,Base profile_7,0.028418295030292418,1071,643184.9020833031,22632775.871941,Base profile pool,Base profile pool
Base profile_8,Base profile_8,0.02844829115041277,1071,643863.7975470148,22632775.871941,Base profile pool,Base profile pool
Base profile_9,Base profile_9,0.028457941735529544,1068,644082.2170769959,22632775.871941,Base profile pool,Base profile pool
Base profile_10,Base profile_10,0.028318255094869352,1068,640920.7206466293,22632775.871941,Base profile pool,Base profile pool
Base profile_11,Base profile_11,0.0283902334324895,1072,642549.7902296211,22632775.871941,Base profile pool,Base profile pool
Base profile_12,Base profile_12,0.02838903197454829,1070,642522.5979013181,22632775.871941,Base profile pool,Base profile pool
Base profile_13,Base profile_13,0.028232343617357547,1071,638976.3054312774,22632775.871941,Base profile pool,Base profile pool
Base profile_14,Base profile_14,0.02842718448274038,1070,643386.0950681821,22632775.871941,Base profile pool,Base profile pool
Base profile_15,Base profile_15,0.028413599028227644,1069,643078.6185210769,22632775.871941,Base profile pool,Base profile pool
Base profile_16,Base profile_16,0.028481059016162425,1068,644605.4253083286,22632775.871941,Base profile pool,Base profile pool
Base profile_17,Base profile_17,0.02828509153439652,1071,640170.1372153321,22632775.871941,Base profile pool,Base profile pool
Base profile_18,Base profile_18,0.02836475369070034,1070,641973.1129444321,22632775.871941,Base profile pool,Base profile pool
Base profile_19,Base profile_19,0.028409447322451025,1070,642984.6538947484,22632775.871941,Base profile pool,Base profile pool
Base profile_20,Base profile_20,0.028375447154695397,1070,642215.1357183269,22632775.871941,Base profile pool,Base profile pool
Base profile_21,Base profile_21,0.028431263512968014,1070,643478.414845099,22632775.871941,Base profile pool,Base profile pool
Base profile_22,Base profile_22,0.028437768859804327,1069,643625.6489020145,22632775.871941,Base profile pool,Base profile pool
Base profile_23,Base profile_23,0.028377366512921474,1071,642258.5761228757,22632775.871941,Base profile pool,Base profile pool
Base profile_24,Base profile_24,0.02830018379399307,1070,640511.7169441821,22632775.871941,Base profile pool,Base profile pool
