started_at,2021-07-03 08:00:00+00:00
completed_at,2022-04-03 09:46:40.291150+00:00
""
Resource Utilization
Resource ID,Resource name,Utilization Ratio,Tasks Allocated,Worked Time (seconds),Available Time (seconds),Pool ID,Pool name
Base profile_0,Base profile_0,0.02720760736646485,1068,644268.6954749641,23679726.29115,Base profile pool,Base profile pool
Base profile_1,Base profile_1,0.027079024638039344,1069,641223.8916600789,23679726.29115,Base profile pool,Base profile pool
Base profile_2,Base profile_2,0.02705380015413475,1069,640626.5827853825,23679726.29115,Base profile pool,Base profile pool
Base profile_3,Base profile_3,0.027086637693183445,1069,641404.1667221306,23679726.29115,Base profile pool,Base profile pool
Base profile_4,Base profile_4,0.027246806184139542,1067,645196.9127484375,23679726.29115,Base profile pool,Base profile pool
Base profile_5,Base profile_5,0.02707971267388529,1068,641240.1841605894,23679726.29115,Base profile pool,Base profile pool
Base profile_6,Base profile_6,0.02715469979165448,1068,643015.858584726,23679726.29115,Base profile pool,Base profile pool
Base profile_7,Base profile_7,0.02717717582199467,1068,643548.0848312933,23679726.29115,Base profile pool,Base profile pool
Base profile_8,Base profile_8,0.027082636848986777,1068,641309.4278266199,23679726.29115,Base profile pool,Base profile pool
Base profile_9,Base profile_9,0.027129863407695253,1067,642427.7398105096,23679726.29115,Base profile pool,Base profile pool
Base profile_10,Base profile_10,0.02696060679709237,1070,638419.7895984655,23679726.29115,Base profile pool,Base profile pool
Base profile_11,Base profile_11,0.02710074148798429,1068,641738.1407226812,23679726.29115,Base profile pool,Base profile pool
Base profile_12,Base profile_12,0.02716138460586633,1068,643174.1531555698,23679726.29115,Base profile pool,Base profile pool
Base profile_13,Base profile_13,0.027140297438527517,1069,642674.814804731,23679726.29115,Base profile pool,Base profile pool
Base profile_14,Base profile_14,0.027204064536410142,1068,644184.8022289725,23679726.29115,Base profile pool,Base profile pool
Base profile_15,Base profile_15,0.027106665801526455,1068,641878.4268458226,23679726.29115,Base profile pool,Base profile pool
Base profile_16,Base profile_16,0.02696145646265146,1070,638439.9094463439,23679726.29115,Base profile pool,Base profile pool
Base profile_17,Base profile_17,0.02707217784297018,1068,641061.7614268694,23679726.29115,Base profile pool,Base profile pool
Base profile_18,Base profile_18,0.02712445869991277,1069,642299.7578095368,23679726.29115,Base profile pool,Base profile pool
Base profile_19,Base profile_19,0.027024328018941345,1068,639928.6906907869,23679726.29115,Base profile pool,Base profile pool
Base profile_20,Base profile_20,0.027047501434915026,1069,640477.4308382747,23679726.29115,Base profile pool,Base profile pool
Base profile_21,Base profile_21,0.027056701769577727,1069,640695.2922448744,23679726.29115,Base profile pool,Base profile pool
Base profile_22,Base profile_22,0.02701265041920542,1070,639652.1683253027,23679726.29115,Base profile pool,Base profile pool
Base profile_23,Base profile_23,0.02698012358505933,1069,638881.9417956056,23679726.29115,Base profile pool,Base profile pool
Base profile_24,Base profile_24,0.026932573889387756,1069,637755.9780168752,23679726.29115,Base profile pool,Base profile pool
Base profile_25,Base profile_25,0.027129261856495324,1068,642413.4952427451,23679726.29115,Base profile pool,Base profile pool
Base profile_26,Base profile_26,0.02695376213041043,1069,638257.7097648832,23679726.29115,Base profile pool,Base profile pool
Base profile_27,Base profile_27,0.026944443168831655,1068,638037.03930538,23679726.29115,Base profile pool,Base profile pool
Base profile_28,Base profile_28,0.02700387509297526,1068,639444.3710020569,23679726.29115,Base profile pool,Base profile pool
Base profile_29,Base profile_29,0.027017527950790595,1069,639767.6669382161,23679726.29115,Base profile pool,Base profile pool
Base profile_30,Base profile_30,0.027027910194516974,1069,640013.5156279447,23679726.29115,Base profile pool,Base profile pool
Base profile_31,Base profile_31,0.027079687421289418,1068,641239.586186031,23679726.29115,Base profile pool,Base profile pool
Base profile_32,Base profile_32,0.026979585432123955,1068,638869.1984813932,23679726.29115,Base profile pool,Base profile pool
Base profile_33,Base profile_33,0.027046230705328498,1069,640447.3403094757,23679726.29115,Base profile pool,Base profile pool
Base profile_34,Base profile_34,0.027170783378008052,1068,643396.7135073587,23679726.29115,Base profile pool,Base profile pool
Base profile_35,Base profile_35,0.027079082552043717,1068,641225.2630478508,23679726.29115,Base profile pool,Base profile pool
Base profile_36,Base profile_36,0.02704521077403683,1070,640423.1886156532,23679726.29115,Base profile pool,Base profile pool
Base profile_37,Base profile_37,0.02703568715014898,1068,640197.671808689,23679726.29115,Base profile pool,Base profile pool
Base profile_38,Base profile_38,0.027065852335799126,1069,640911.9751484062,23679726.29115,Base profile pool,Base profile pool
Base profile_39,Base profile_39,0.02705344496702805,1067,640618.1720519138,23679726.29115,Base profile pool,Base profile pool
Base profile_40,Base profile_40,0.026939994063703145,1068,637931.6857136963,23679726.29115,Base profile pool,Base profile pool
Base profile_41,Base profile_41,0.027115484086028784,1068,642087.2414091952,23679726.29115,Base profile pool,Base profile pool
Base profile_42,Base profile_42,0.02700301835641563,1069,639424.0837148213,23679726.29115,Base profile pool,Base profile pool
Base profile_43,Base profile_43,0.02709198771902805,1067,641530.8538697815,23679726.29115,Base profile pool,Base profile pool
Base profile_44,Base profile_44,0.027140711034488136,1068,642684.6086438736,23679726.29115,Base profile pool,Base profile pool
Base profile_45,Base profile_45,0.02698710024025141,1067,639047.1470809818,23679726.29115,Base profile pool,Base profile pool
Base profile_46,Base profile_46,0.026934406918550206,1068,637799.3836457258,23679726.29115,Base profile pool,Base profile pool
Base profile_47,Base profile_47,0.02707416793432631,1067,641108.886245477,23679726.29115,Base profile pool,Base profile pool
Base profile_48,Base profile_48,0.02725433967013776,1067,645375.3036348935,23679726.29115,Base profile pool,Base profile pool
Base profile_49,Base profile_49,0.027075870708063055,1068,641149.2074614989,23679726.29115,Base profile pool,Base profile pool
""
Individual Task Statistics
Name,Count,Min Duration,Max Duration,Avg Duration,Total Duration,Min Waiting Time,Max Waiting Time,Avg Waiting Time,Total Waiting Time,Min Processing Time,Max Processing Time,Avg Processing Time,Total Processing Time,Min Cycle Time,Max Cycle Time,Avg Cycle Time,Total Cycle Time,Min Idle Time,Max Idle Time,Avg Idle Time,Total Idle Time,Min Idle Cycle Time,Max Idle Cycle Time,Avg Idle Cycle Time,Total Idle Cycle Time,Min Idle Processing Time,Max Idle Processing Time,Avg Idle Processing Time,Total Idle Processing Time,Min Cost,Max Cost,Avg Cost,Total Cost
A,10000,1.7976931348623157e+308,0,0,0,0,0,0.0,0.0,344.13594468620147,828.0939929208387,600.1624950883163,6001624.950883163,344.13594468620147,828.0939929208387,600.1624950883163,6001624.950883163,0.0,4.99996872349584e-07,1.222434392161631e-07,0.001222434392161631,344.13594499975443,828.0939930006862,600.1624952105619,6001624.952105619,344.13594499975443,828.0939930006862,600.1624952105619,6001624.952105619,0.955933179683893,2.300261091446774,1.6671180419119944,16671.180419119944
B,10000,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,391.8076917905423,812.1712249076498,600.1596053670378,6001596.053670378,391.8076917905423,812.1712249076498,600.1596053670378,6001596.053670378,0.0,4.999030807084637e-07,1.249026800280717e-07,0.001249026800280717,391.8076919997111,812.1712250001729,600.159605491942,6001596.05491942,391.8076919997111,812.1712250001729,600.159605491942,6001596.05491942,1.0883546994181732,2.2560311802990274,1.667110014908444,16671.10014908444
D1,11708,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,338.3536302447319,830.8340876379222,600.2617602069879,7027864.688503414,338.3536302447319,830.8340876379222,600.2617602069879,7027864.688503414,0.0,4.996329607820371e-07,1.2455534890546696e-07,0.0014582940249852072,338.3536302447319,830.8340879995376,600.261760331543,7027864.689961705,338.3536302447319,830.8340879995376,600.261760331543,7027864.689961705,0.9398711951242553,2.307872465660895,1.6673937783527404,19521.846356953884
C2,5036,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,410.0021572075784,847.2090113423765,599.3336202892208,3018244.111776516,410.0021572075784,847.2090113423765,599.3336202892208,3018244.111776516,0.0,4.999649263481842e-07,1.2765210132604824e-07,0.0006428559822779789,410.0021572075784,847.2090113423765,599.3336204168739,3018244.112419377,410.0021572075784,847.2090113423765,599.3336204168739,3018244.112419377,1.1388948811321622,2.3533583648399348,1.6648156119145006,8384.011421601424
E,10000,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,372.2202562466264,806.963614660742,599.3334615398472,5993334.615398472,372.2202562466264,806.963614660742,599.3334615398472,5993334.615398472,0.0,4.999373004466179e-07,1.231083990433035e-07,0.001231083990433035,372.2202562466264,806.963615000248,599.3334616629538,5993334.616629538,372.2202562466264,806.963615000248,599.3334616629538,5993334.616629538,1.0339451562406288,2.241565596279839,1.664815170944017,16648.15170944017
C1,4964,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,365.6835168576708,808.8285436886184,600.2616411322872,2979698.786580674,365.6835168576708,808.8285436886184,600.2616411322872,2979698.786580674,0.0,4.999567408958683e-07,1.2453820837583743e-07,0.000618207666377657,365.6835169997066,808.8285440001637,600.2616412568253,2979698.7871988807,365.6835169997066,808.8285440001637,600.2616412568253,2979698.7871988807,1.0157875468268633,2.246745954690607,1.667393447589685,8276.941073835196
D2,1708,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,411.3085815454248,805.3270617125999,601.0320282206668,1026562.704200899,411.3085815454248,805.3270617125999,601.0320282206668,1026562.704200899,0.0,4.99254838359775e-07,1.293712524045931e-07,0.000220966099107045,411.30858199996874,805.3270619995892,601.0320283500376,1026562.7044218644,411.30858199996874,805.3270619995892,601.0320283500376,1026562.7044218644,1.14252383762618,2.237019615868333,1.66953341172407,2851.5630672247116
""
Overall Scenario Statistics
KPI,Min,Max,Average,Accumulated Value,Trace Ocurrences
cycle_time,1968.547717,6607.562116,2518.234376140601,25182343.76140601,10000
processing_time,1968.547717,6683.467877,2538.7194057291977,25387194.057291977,10000
idle_cycle_time,1968.547717,6607.562116,2518.234376140601,25182343.76140601,10000
idle_processing_time,1968.547717,6683.467877,2538.7194057291977,25387194.057291977,10000
waiting_time,0.0,0,0.0,0.0,10000
idle_time,0.0,0,0.0,0.0,10000
