started_at,2020-10-01 10:28:24.381705+00:00
completed_at,2020-10-15 12:37:52.144044+00:00
""
Resource Utilization
Resource ID,Resource name,Utilization Ratio,Tasks Allocated,Worked Time (seconds),Available Time (seconds),Pool ID,Pool name
Base profile_0,Base profile_0,0.5268250129638712,1074,641332.411625861,1217353.762339,Base profile pool,Base profile pool
Base profile_1,Base profile_1,0.5269461079027515,1067,641479.8270053072,1217353.762339,Base profile pool,Base profile pool
Base profile_2,Base profile_2,0.5268350109661702,1072,641344.5827315756,1217353.762339,Base profile pool,Base profile pool
Base profile_3,Base profile_3,0.5267532215533773,1069,641245.0160821927,1217353.762339,Base profile pool,Base profile pool
Base profile_4,Base profile_4,0.5264651176750201,1063,640894.2917419301,1217353.762339,Base profile pool,Base profile pool
Base profile_5,Base profile_5,0.5269620950797403,1071,641499.2890553637,1217353.762339,Base profile pool,Base profile pool
Base profile_6,Base profile_6,0.5270341404864904,1069,641586.9938023302,1217353.762339,Base profile pool,Base profile pool
Base profile_7,Base profile_7,0.5268017832049304,1063,641304.1327914163,1217353.762339,Base profile pool,Base profile pool
Base profile_8,Base profile_8,0.526478232237395,1066,640910.2568037786,1217353.762339,Base profile pool,Base profile pool
Base profile_9,Base profile_9,0.5265688715207465,1070,641020.5968763822,1217353.762339,Base profile pool,Base profile pool
Base profile_10,Base profile_10,0.5263448273480011,1063,640747.8558597605,1217353.762339,Base profile pool,Base profile pool
Base profile_11,Base profile_11,0.526400054502339,1066,640815.086843877,1217353.762339,Base profile pool,Base profile pool
Base profile_12,Base profile_12,0.5265849797511376,1065,641040.2062912534,1217353.762339,Base profile pool,Base profile pool
Base profile_13,Base profile_13,0.5266071043358975,1071,641067.1397377511,1217353.762339,Base profile pool,Base profile pool
Base profile_14,Base profile_14,0.5264844579396254,1069,640917.8356858119,1217353.762339,Base profile pool,Base profile pool
Base profile_15,Base profile_15,0.5262511967870827,1065,640633.8743441565,1217353.762339,Base profile pool,Base profile pool
Base profile_16,Base profile_16,0.526344194131664,1073,640747.0850114701,1217353.762339,Base profile pool,Base profile pool
Base profile_17,Base profile_17,0.5262687144892748,1060,640655.1995848276,1217353.762339,Base profile pool,Base profile pool
Base profile_18,Base profile_18,0.5264428867640911,1063,640867.2288588705,1217353.762339,Base profile pool,Base profile pool
Base profile_19,Base profile_19,0.526934217413591,1069,641465.3520735916,1217353.762339,Base profile pool,Base profile pool
Base profile_20,Base profile_20,0.5264781594601303,1067,640910.1682081015,1217353.762339,Base profile pool,Base profile pool
Base profile_21,Base profile_21,0.5260106086072487,1064,640340.9934182613,1217353.762339,Base profile pool,Base profile pool
Base profile_22,Base profile_22,0.5258108151930684,1069,640097.7741538184,1217353.762339,Base profile pool,Base profile pool
Base profile_23,Base profile_23,0.5261917168883166,1065,640561.4662656101,1217353.762339,Base profile pool,Base profile pool
Base profile_24,Base profile_24,0.5269134639650351,1062,641440.0877849106,1217353.762339,Base profile pool,Base profile pool
Base profile_25,Base profile_25,0.5267483611818926,1070,641239.0992906793,1217353.762339,Base profile pool,Base profile pool
Base profile_26,Base profile_26,0.5267137853950211,1068,641197.0083264455,1217353.762339,Base profile pool,Base profile pool
Base profile_27,Base profile_27,0.526631430179685,1077,641096.7528952078,1217353.762339,Base profile pool,Base profile pool
Base profile_28,Base profile_28,0.5261840388739292,1072,640552.1194059083,1217353.762339,Base profile pool,Base profile pool
Base profile_29,Base profile_29,0.5263857887624174,1066,640797.7203917109,1217353.762339,Base profile pool,Base profile pool
Base profile_30,Base profile_30,0.5260774281054574,1067,640422.3363858033,1217353.762339,Base profile pool,Base profile pool
Base profile_31,Base profile_31,0.526275980534069,1071,640664.0449317952,1217353.762339,Base profile pool,Base profile pool
Base profile_32,Base profile_32,0.5259438611563743,1067,640259.7381578127,1217353.762339,Base profile pool,Base profile pool
Base profile_33,Base profile_33,0.5261087576532948,1064,640460.4755287356,1217353.762339,Base profile pool,Base profile pool
Base profile_34,Base profile_34,0.5267464888977695,1066,641236.820058558,1217353.762339,Base profile pool,Base profile pool
Base profile_35,Base profile_35,0.5263247861491667,1064,640723.4586309575,1217353.762339,Base profile pool,Base profile pool
Base profile_36,Base profile_36,0.526268613150952,1065,640655.076220239,1217353.762339,Base profile pool,Base profile pool
Base profile_37,Base profile_37,0.5261182620377888,1071,640472.045726958,1217353.762339,Base profile pool,Base profile pool
Base profile_38,Base profile_38,0.5263067232005907,1071,640701.4696325497,1217353.762339,Base profile pool,Base profile pool
Base profile_39,Base profile_39,0.5264475877903391,1066,640872.9516708602,1217353.762339,Base profile pool,Base profile pool
Base profile_40,Base profile_40,0.5265462310746691,1068,640993.0354441688,1217353.762339,Base profile pool,Base profile pool
Base profile_41,Base profile_41,0.5263953171604978,1066,640809.3198229631,1217353.762339,Base profile pool,Base profile pool
Base profile_42,Base profile_42,0.5261278208628813,1068,640483.682198648,1217353.762339,Base profile pool,Base profile pool
Base profile_43,Base profile_43,0.5259405806452585,1067,640255.7446152637,1217353.762339,Base profile pool,Base profile pool
Base profile_44,Base profile_44,0.5258437174458221,1065,640137.8278349976,1217353.762339,Base profile pool,Base profile pool
Base profile_45,Base profile_45,0.5266617417712539,1069,641133.6528252468,1217353.762339,Base profile pool,Base profile pool
Base profile_46,Base profile_46,0.5258507814292395,1063,640146.4272017877,1217353.762339,Base profile pool,Base profile pool
Base profile_47,Base profile_47,0.5264815758812312,1063,640914.3272011825,1217353.762339,Base profile pool,Base profile pool
Base profile_48,Base profile_48,0.5259687015896842,1071,640289.9777527609,1217353.762339,Base profile pool,Base profile pool
Base profile_49,Base profile_49,0.5261708117287555,1070,640536.017290966,1217353.762339,Base profile pool,Base profile pool
""
Individual Task Statistics
Name,Count,Min Duration,Max Duration,Avg Duration,Total Duration,Min Waiting Time,Max Waiting Time,Avg Waiting Time,Total Waiting Time,Min Processing Time,Max Processing Time,Avg Processing Time,Total Processing Time,Min Cycle Time,Max Cycle Time,Avg Cycle Time,Total Cycle Time,Min Idle Time,Max Idle Time,Avg Idle Time,Total Idle Time,Min Idle Cycle Time,Max Idle Cycle Time,Avg Idle Cycle Time,Total Idle Cycle Time,Min Idle Processing Time,Max Idle Processing Time,Avg Idle Processing Time,Total Idle Processing Time,Min Cost,Max Cost,Avg Cost,Total Cost
A,10000,1.7976931348623157e+308,0,0,0,0,8428.601178871031,3732.7550506054336,37327550.506054334,375.67004130827263,832.1396986691733,600.5043122141817,6005043.122141818,440.8268525974865,9120.859907726408,4333.259362819628,43332593.628196284,0.0,4.998192935090628e-07,1.2230934385684123e-07,0.0012230934385684122,440.82685299997684,9120.859907726408,4333.259362941943,43332593.62941944,375.67004130827263,832.1396990000503,600.5043123364915,6005043.123364914,1.0435278925229796,2.3114991629699255,1.6680675339282873,16680.675339282872
B,10000,1.7976931348623157e+308,0,0,0,0.0,8496.812971982232,4910.383013902366,49103830.13902366,364.45144239935325,842.839018067345,600.347877579536,6003478.77579536,427.88547311455477,9225.95100030792,5510.7308914818805,55107308.91481881,0.0,4.998651093046647e-07,1.2501754834488565e-07,0.0012501754834488565,427.88547311455477,9225.95100030792,5510.730891606886,55107308.91606886,364.45144239935325,842.839018067345,600.3478777045533,6003478.777045533,1.0123651177759814,2.341219494631514,1.6676329932764922,16676.329932764922
D1,11685,1.7976931348623157e+308,0,0,0,0.0,8477.728615391854,4825.893509008782,56390565.65276761,378.3923865643781,834.2145884567872,600.7593536811205,7019873.047763892,461.4573256901067,9173.462407623912,5426.652862689886,63410438.70053132,0.0,4.999194516130956e-07,1.25273491195401e-07,0.0014638207446182605,461.4573259999743,9173.462407623912,5426.652862815143,63410438.70199494,378.39238699999987,834.2145884567872,600.7593538063959,7019873.049227736,1.0510899626788281,2.3172627457132977,1.668775982447558,19499.647354899716
C2,4986,1.7976931348623157e+308,0,0,0,0.0,8474.40148054366,5209.616553855607,25975148.137524057,395.5325354782399,817.012402467546,601.3564465550644,2998363.242523551,488.8763781886675,9177.770577166126,5810.973000410696,28973511.38004773,0.0,4.998966005587135e-07,1.2888416269283649e-07,0.0006426164351864827,488.87637866311707,9177.770577488001,5810.973000539577,28973511.38069033,395.5325354782399,817.012402467546,601.356446683948,2998363.2431661645,1.0987014874395553,2.2694788957431835,1.6704345737640631,8328.786784787619
C1,5014,1.7976931348623157e+308,0,0,0,0.0,8495.550472340634,5266.9162610271405,26408318.13279008,372.1524328093844,820.4422437241416,599.6843230005006,3006817.19552451,497.03313752193935,9204.854106311046,5866.600584027613,29415135.328314453,0.0,4.996919642508146e-07,1.297760184791441e-07,0.0006506969566544285,497.03313752193935,9204.854106311046,5866.600584157415,29415135.32896528,372.1524329999811,820.4422440000344,599.6843231302751,3006817.196175199,1.0337567578038456,2.2790062325670597,1.6657897861124964,8352.269987568057
D2,1685,1.7976931348623157e+308,0,0,0,0.0,8473.355021371419,4964.813999342848,8365711.588892698,404.79546568871405,828.2998337871949,600.5466606602541,1011921.1232125282,521.8270903942757,9183.846897302166,5565.360660003107,9377632.712105235,0.0,4.998780696041649e-07,1.2126251300632996e-07,0.00020432733441566597,521.8270903942757,9183.846897371404,5565.36066012437,9377632.712309564,404.7954659999996,828.2998339999467,600.5466607815175,1011921.1234168571,1.124431849135317,2.300832871631097,1.6681851685007067,2810.892008923691
E,10000,1.7976931348623157e+308,0,0,0,0.0,8468.338613099302,4497.52861089659,44975286.1089659,351.42044737385004,815.0269596364395,599.6479375118794,5996479.375118794,449.16727863355163,9207.144515716613,5097.176548408471,50971765.48408471,0.0,4.998099711883697e-07,1.242232991387482e-07,0.0012422329913874819,449.16727900000114,9207.144516104338,5097.176548532698,50971765.485326976,351.42044737385004,815.0269599999883,599.6479376361016,5996479.376361015,0.9761679093718056,2.2639637767678877,1.6656887153107685,16656.887153107684
""
Overall Scenario Statistics
KPI,Min,Max,Average,Accumulated Value,Trace Ocurrences
cycle_time,2346.289737,43212.377817,21697.447415287996,216974474.15287995,10000
processing_time,1957.109655,10280.413603,2570.412839503801,25704128.39503801,10000
idle_cycle_time,2346.289737,43212.377817,21697.447415287996,216974474.15287995,10000
idle_processing_time,1957.109655,10280.413603,2570.412839503801,25704128.39503801,10000
waiting_time,164.78596,37859.676735,19198.470345380178,191984703.45380178,10000
idle_time,0.0,0,0.0,0.0,10000
